Feature,F_Score,p_value
Seq,328676.3191898515,0.0
Offset,222989.93162812965,0.0
sTtl,190379.10916176048,0.0
AckDat,80629.67240704148,0.0
TcpRtt,34316.03297835558,0.0
sMeanPktSz,26834.543898496104,0.0
sHops,24458.95049919138,0.0
Dur,23312.371496493968,0.0
dTtl,14620.842964491876,0.0
SrcBytes,12674.495626244045,0.0
TotBytes,11762.587105817724,0.0
dMeanPktSz,10060.594707212582,0.0
Cause,9942.46307579726,0.0
SrcWin,6955.825513168853,0.0
State,6525.6552336094155,0.0
sTos,6281.327083469579,0.0
dTos,4589.453048536593,0.0
pLoss,3959.0448274399887,0.0
sDSb,2256.481117443335,0.0
SrcLoss,1725.5109081265616,0.0
DstLoss,1484.041831174449,0.0
dDSb,1469.7253467749867,0.0
DstBytes,1027.420576145654,2.684812602095124e-225
SynAck,469.8494775382095,3.688030711427445e-104
SrcTCPBase,99.37913630817336,2.0912549322080407e-23
Proto,79.51890156922025,4.78544080373433e-19
dHops,31.53553595457002,1.958843717339662e-08
Loss,27.89723741400827,1.2796361032754476e-07
Load,23.39533641948983,1.3192090622886663e-06
SrcRate,20.948836322084514,4.717807964571327e-06
SrcGap,6.8307353730442415,0.008960394385473127
DstWin,3.563379785947859,0.059067697157481946
DstTCPBase,0.009694574905589285,0.9215662363717726
DstGap,0.004761208940877078,0.9449884305480051
